	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
zich	afspelen		ww			gebeuren (bv. verhaal)		467
de	afspiegeling		znw					468
	afsplitsen		ww					469
de	afsplitsing		znw					470
de	afspraak		znw		A1	plan of regel die je samen maakt	Mia heeft om 9 u. een afspraak met de dokter.	471
	afspreken		ww		A2	een plan of regel maken		472
	afstaan		ww					473
	afstammen van		ww					474
de	afstand		znw		A2	hoe ver het is		475
	afstandelijk		bnw					476
de	afstandsbediening		znw					477
het	afstapje		znw					478
	afsteken		ww					479
	afstemmen op		ww					480
	afstevenen op		ww					481
	afstoten		ww					482
	afstraffen		ww					483
	afstuderen		ww			je studies met succes beëindigen		484
	aftakelen		ww					485
de	aftershave		znw					486
de	aftocht		znw					487
de	aftrap		znw					488
	aftreden		ww					489
de	aftrek		znw					490
	aftrekbaar		bnw					491
	aftrekken		ww					492
de	aftrekpost		znw					493
	aftroeven		ww					494
	afvaardigen		ww					495
de	afvaardiging		znw					496
het	afval		znw		A2	dingen die je niet wil		497
	afvallen		ww			kilo's verliezen, dunner worden		498
	afvegen		ww		A2			499
	afvloeien		ww					500
de	afvoer		znw					501
	afvoeren		ww					502
zich	afvragen		ww		B1	nieuwsgierig zijn over iets		503
	afvuren		ww					504
	afwachten		ww		B1			505
de	afwachting		znw					506
de	afwas		znw		B1	te wassen vaat		507
de	afwasmachine		znw					508
	afwassen		ww		B1	de vaat wassen		509
het	afweersysteem		znw					510
	afwegen		ww					511
de	afweging		znw					512
	afwenden		ww					513
zich	afwenden van		ww					514
	afwerken		ww					515
de	afwerking		znw					516
	afweten		ww			het laten ... = niet doen wat je belooft		517
	afweten van		ww			vell kennis hebben over		518
	afwezig		bnw		A2	niet hier		519
	afwijken		ww					520
	afwijken van		ww					521
de	afwijking		znw					522
	afwijzen		ww					523
de	afwikkeling		znw					524
	afwisselen		ww					525
	afwisselend		bnw			alternerend		526
de	afwisseling		znw					527
	afz.					afzender		528
	afzeggen		ww					529
de	afzender		znw					530
de	afzet		znw					531
	afzetten		ww			te veel doen betalen		532
	afzetten		ww			amputeren		532
	afzien		ww					533
	afzienbaar		bnw					534
	afzien van		ww					535
	afzijdig		bnw					536
	afzonderen		ww					537
de	afzondering		znw					538
	afzonderlijk		bnw		B1	individueel, apart		539
de	afzuigkap		znw					540
	afzweren		ww					541
de	agenda		znw		A1	boek met datums en planning	Ik schrijf alle afspraken in mijn agenda.	542
de	agent		znw		A2	1. persoon die iets voor iemand anders doet 2. politieman		543
de	agente		znw					544
	agrarisch		bnw					545
de	agressie		znw					546
	agressief		bnw					547
de	aids		znw					548
de	airbag		znw					549
de	airconditioning		znw					550
de	AIVD		znw			Algemene Inlichtingen- en Veiligheidsdienst		551
de	ajuin		znw			(BE) ui		552
	akelig		znw					553
de	akker		znw					554
	akkoord		bnw		B1	van dezelfde mening		555
het	akkoord		znw		B1	overeenkomst, afspraak		556
het	akkoord		znw			harmonie: noten die je samenspeelt (muziek)		556
de	akoestiek		znw					557
de	akte		znw					558
	al		tw			... +de		559
	al		bw		A2	↔ nog		560
	al		ovw		B2	zelfs in het geval dat		561
het	alarm		znw			sirene		562
het	album		znw		B1	collectie met foto's of liedjes		563
de	alcohol		znw					564
	aldoor		bw		B2	voortdurend, onophoudelijk		565
	aldus		bw		B2	zo zegt		566
	aleer		ovw			voordat		567
	alert		bnw					568
het	alfabet		znw		A1	letters in een taal		569
	alfabetisch		bnw					570
	algeheel		bnw					571
	algemeen		bnw		A2	globaal, niet specifiek		572
	alhoewel		ovw					573
	alias		bw					574
het	alibi		znw					575
de	alimentatie		znw					576
de	alinea		znw					577
	Allah		znw			Arabische naam voor God (gebruikt in de Islam)		578
	allang		bw					579
	alle					al + de		580
	allebei		bw		A2	alletwee; beide		581
	alledaags							582
	alleen		bw		A1	zonder andere(n)		583
	alleen		bw			niks anders		583
	alleenstaand							584
	allemaal		bw		A2	alles, allen		585
	allen	ɑlə(n)	bw; vnw		A2	iedereen		586
	allengs					beetje bij beetje meer		587
	aller-					van allemaal		588
	allereerst					voor alles anders		589
de	allergie							590
	allerhande							591
	Allerheiligen					feestdag van alle heiligen op 1 november		592
	allerlei	ɑlərlɛi	bnw		A2	diverse; veel soorten	.	593
	allerminst							594
	Allerzielen					feestdag voor de doden op 2 november		595
	alles		vnw		A1	alle dingen		596
	allesbehalve							597
	alleszins							598
de	alliantie							599
	allicht					natuurlijk, bijna zeker		600
	allochtoon					uit een ander land (daar geboren of via familie)		601
de	allochtoon					persoon uit een ander land (daar geboren of via familie)		602
	allround		bnw			in alle aspecten, op alle vlakken		603
	allure							604
	alom					overal, in vele plaatsen		605
	alomtegenwoordig		bnw					606
	als		ovw		A2	wanneer; op het moment dat	Als het winter is, is het vaak koud.	607
	als		ovw		A2	in de situatie dat	Laat maar weten als je niet kunt komen.	607
	alsjeblieft		tsw		A1	↔ dank je wel	Alsjeblieft, hier is je vijf euro. Kan je het raam openen, alsjeblieft?	608
	alsmede							609
	alsnog							610
	alsof		ovw		A2			611
	alstublieft		tsw		A1	↔ dank u wel	Alstublieft, hier is de rekening. Voor mij een espresso, alstublieft.	612
de	alt		znw					613
het	altaar		znw					614
	alternatief							615
het	alternatief							616
	althans		bw		B1	tenminste, in elk geval		617
	altijd		bw		A1	↔ nooit		618
	altruïstisch		bnw					619
het	aluminium							620
	alvast		bw		A2	voordat iets gebeurt	Oké, ik zal alvast tickets kopen voor morgen.	621
	alvorens		ovw					622
	alweer		bw		A2	opnieuw, voor de zoveelste keer	Hij heeft alweer een nieuwe vriendin!	623
de	alzheimer		znw					624
	a.m.					ante meridiem: voor de middag		625
de	amandel		znw					626
het	ambacht		znw			beroep met handwerk		627
	ambachtelijk					op traditionele wijze		628
de	ambassade		znw		B1			629
de	ambassadeur		znw					630
de	ambassadrice		znw					631
	ambetant							632
de	ambiance		znw					633
de	ambitie		znw					634
	ambitieus							635
	ambivalent							636
het	ambt		znw					637
	ambtelijk							638
de	ambtenaar		znw		B1			639
de	ambulance		znw					640
de	amfibie		znw					641
de	amnestie		znw					642
	amper							643
de	ampersand					symbool: &		644
	amputeren							645
	amusant							646
het	amusement							647
	amuseren							648
zich	amuseren							649
de	amv							650
de	analfabeet							651
de	analist							652
de	analyse		znw		B1			653
	analyseren		ww		B1			654
de	ananas					🍍 soort fruit	Eet jij graag pizza met ananas?	655
de	anarchie							656
de	anantomie							657
	ander		bnw		A1	niet dezelfde		658
	anderhalf		bnw	anderhalve	A2	1,5	Het brood kost anderhalve euro.	659
	andermaal							660
	andermans							661
	anders		bw		A2	≠, niet op dezelfde manier		662
	anders		bw		A2	zo niet		662
	andersom							663
	anderzijds		bw		B1	aan de andere kant		664
de	andijvie		znw					665
de	anekdote							666
de	angel							667
